dataset_id,dataset_name,source_file,relative_path,file_size_bytes,sha256,format,packet_count,validation_status,validation_reason,malware_family,original_label,research_role,ingestion_status,pipeline_version,ingestion_timestamp
DS-008,Malware-Traffic-Analysis.net,2024-03-14-AsyncRAT-and-XWorm-infection-traffic.pcap,data\verification\pcaps\2024-03-14-AsyncRAT-and-XWorm-infection-traffic.pcap,44188000,ef8b0d488efe3cc7b9f1e2c33b4aea00f0613be60a119fb07d7006add89fafc8,pcap,46322,VALID,OK,AsyncRAT-and-XWorm,AsyncRAT-and-XWorm,PRIMARY_MODERN_TLS_MALWARE,SUCCESS,0.1.0,2026-08-15T09:20:18.085906Z
DS-008,Malware-Traffic-Analysis.net,2025-01-30-XLoader-infection-traffic.pcap,data\verification\pcaps\2025-01-30-XLoader-infection-traffic.pcap,13534582,4b079d83abe301a9aee90d68565429b7fc9dd6b9b43c4cb8e2c44b99fcede894,pcap,18224,VALID,OK,XLoader,XLoader,PRIMARY_MODERN_TLS_MALWARE,SUCCESS,0.1.0,2026-08-15T09:20:18.253160Z
DS-004,CipherSpectrum,sample1.pcap,data\samples\ds004\sample1.pcap,9832,6a742a2870e48b1d7b2c1d774ac1e9af2b0b065bfe425d9d0275f645e0f5cc70,pcap,24,VALID,OK,UNKNOWN,UNKNOWN,BENIGN_VALIDATION,SUCCESS,0.1.0,2026-08-15T09:20:18.338726Z
DS-004,CipherSpectrum,sample2.pcap,data\samples\ds004\sample2.pcap,332217,3894f3753c469e2535461ff39e0de14b606012d1b6875205e3e800bd7bf25850,pcap,177,VALID,OK,UNKNOWN,UNKNOWN,BENIGN_VALIDATION,SUCCESS,0.1.0,2026-08-15T09:20:18.354150Z
DS-004,CipherSpectrum,sample3.pcap,data\samples\ds004\sample3.pcap,112539,dfeb6080c6dd830113d6f63caeaf130eb3efdefe8bc7f1e8cf709ac6f4b3ffbf,pcap,89,VALID,OK,UNKNOWN,UNKNOWN,BENIGN_VALIDATION,SUCCESS,0.1.0,2026-08-15T09:20:18.373398Z
DS-004,CipherSpectrum,sample4.pcap,data\samples\ds004\sample4.pcap,9116,064914e2c3bc37cd48c938c70fe7f98f829a6672f72d8fa493178aa8e019c50d,pcap,25,VALID,OK,UNKNOWN,UNKNOWN,BENIGN_VALIDATION,SUCCESS,0.1.0,2026-08-15T09:20:18.402922Z
DS-004,CipherSpectrum,sample5.pcap,data\samples\ds004\sample5.pcap,13486,fcb24e8664d9d28c7ac1cd1ae4cec3ccf1d2a48789c689f3678e2bcf99e21f8f,pcap,30,VALID,OK,UNKNOWN,UNKNOWN,BENIGN_VALIDATION,SUCCESS,0.1.0,2026-08-15T09:20:18.417634Z
DS-004,CipherSpectrum,sample6.pcap,data\samples\ds004\sample6.pcap,47951,a6a7ee05a2aaa41bf3247681e85ea5d1c6caf96b1b92483fee7aae3351a2d785,pcap,51,VALID,OK,UNKNOWN,UNKNOWN,BENIGN_VALIDATION,SUCCESS,0.1.0,2026-08-15T09:20:18.443573Z
