precision,recall,f1,balanced_accuracy,pr_auc,roc_auc,confusion_matrix,experiment,model,fold,train_samples,test_samples
0.95,1.0,0.9743589743589743,0.5,0.975,0.5,"[[0, 2], [0, 38]]",C_ja4,XGBoost,3,160,40
0.95,1.0,0.9743589743589743,0.5,0.975,0.5,"[[0, 2], [0, 38]]",C_ja4,XGBoost,4,160,40
1.0,1.0,1.0,1.0,1.0,,[[40]],C_ja4,XGBoost,5,160,40
1.0,1.0,1.0,1.0,1.0,1.0,"[[2, 0], [0, 38]]",D_ja3_flow,LogisticRegression,1,160,40
1.0,1.0,1.0,1.0,1.0,1.0,"[[1, 0], [0, 39]]",D_ja3_flow,LogisticRegression,2,160,40
0.9743589743589743,1.0,0.987012987012987,0.75,1.0,1.0,"[[1, 1], [0, 38]]",D_ja3_flow,LogisticRegression,3,160,40
1.0,1.0,1.0,1.0,1.0,1.0,"[[2, 0], [0, 38]]",D_ja3_flow,LogisticRegression,4,160,40
1.0,1.0,1.0,1.0,1.0,,[[40]],D_ja3_flow,LogisticRegression,5,160,40
1.0,1.0,1.0,1.0,1.0,1.0,"[[2, 0], [0, 38]]",D_ja3_flow,RandomForest,1,160,40
1.0,1.0,1.0,1.0,1.0,1.0,"[[1, 0], [0, 39]]",D_ja3_flow,RandomForest,2,160,40
0.95,1.0,0.9743589743589743,0.5,1.0,1.0,"[[0, 2], [0, 38]]",D_ja3_flow,RandomForest,3,160,40
1.0,1.0,1.0,1.0,1.0,1.0,"[[2, 0], [0, 38]]",D_ja3_flow,RandomForest,4,160,40
1.0,1.0,1.0,1.0,1.0,,[[40]],D_ja3_flow,RandomForest,5,160,40
0.95,1.0,0.9743589743589743,0.5,1.0,1.0,"[[0, 2], [0, 38]]",D_ja3_flow,XGBoost,1,160,40
1.0,1.0,1.0,1.0,1.0,1.0,"[[1, 0], [0, 39]]",D_ja3_flow,XGBoost,2,160,40
1.0,1.0,1.0,1.0,1.0,1.0,"[[2, 0], [0, 38]]",D_ja3_flow,XGBoost,3,160,40
0.95,1.0,0.9743589743589743,0.5,1.0,1.0,"[[0, 2], [0, 38]]",D_ja3_flow,XGBoost,4,160,40
1.0,1.0,1.0,1.0,1.0,,[[40]],D_ja3_flow,XGBoost,5,160,40
