dataset,feature,type,missing_count,missing_pct,unique_count,min,max,mean,top_value,top_value_freq
E,fwd_packet_length_median,float64,0,0.0,33,40.0,1500.0,191.4625,,
E,fwd_iat_p90,float64,0,0.0,160,0.00024700164794921875,45.00187611579895,5.889412350803612,,
E,rev_packet_length_median,float64,0,0.0,73,40.0,1500.0,497.028125,,
E,total_bytes,int64,0,0.0,144,677.0,41131631.0,516310.15625,,
E,packet_length_p75,float64,0,0.0,88,41.0,1500.0,787.571875,,
E,forward_byte_ratio,float64,0,0.0,144,0.0012240457958012897,0.9931805980037297,0.315279908081179,,
E,packet_count_asymmetry,float64,0,0.0,86,-0.9148324376133913,0.6327368729832795,-0.05088519356962158,,
E,rev_iat_median,float64,0,0.0,150,1.1920928955078125e-06,15.221274971961975,0.13988347724080086,,
E,tls_version,float64,0,0.0,2,1.2,1.3,1.2431249999999998,,
E,clienthello_present,bool,0,0.0,1,1.0,1.0,1.0,True,160.0
E,serverhello_present,bool,0,0.0,1,1.0,1.0,1.0,True,160.0
E,sni_present,bool,0,0.0,2,0.0,1.0,0.775,True,124.0
E,alpn_value,object,0,0.0,2,,,,,88.0
E,sequence_directions,object,0,0.0,-1,,,,,
E,sequence_tcp_flags,object,0,0.0,-1,,,,,
E,sequence_relative_times,object,0,0.0,-1,,,,,
E,sequence_packet_lengths,object,0,0.0,-1,,,,,
