filename,malware_family,capture_date,file_size,packet_count,IPv4/IPv6,TCP/UDP,TLS_detected,TLS_version,ClientHello_count,ServerHello_count,TLS_extensions_present,JA3_result,JA3S_result,JA4_result,bidirectional_flow,flow_duration,packet_length_features,IAT_features,label_source
2025-01-30-XLoader-infection-traffic.pcap,XLoader,2025-01-30,13534582,18224,IPv4,TCP,YES,TLS 1.2/1.3,45,45,YES,YES,YES,YES,YES,COMPUTABLE,COMPUTABLE,COMPUTABLE,dataset metadata (MTA)
2024-03-14-AsyncRAT-and-XWorm-infection-traffic.pcap,AsyncRAT/XWorm,2024-03-14,44188000,46322,IPv4,TCP,YES,TLS 1.2/1.3,17,18,YES,YES,YES,YES,YES,COMPUTABLE,COMPUTABLE,COMPUTABLE,dataset metadata (MTA)
